# Energy_meV Original Background Corrected FinalWeight
1.929978258564467453e+01 1.290245342396097563e-03 2.144846493764961538e-04 1.075760693019601382e-03 8.756510762696520037e-27
2.021881985162775663e+01 1.267521639448003197e-03 2.131621682387504623e-04 1.054359471209252762e-03 8.756510762696520037e-27
2.113785711761083519e+01 1.156804985347511042e-03 2.118396871009945793e-04 9.449652982465164353e-04 8.756510762696520037e-27
2.205689438359391730e+01 1.184921695220671417e-03 2.105172059632270411e-04 9.744044892574443492e-04 8.756510762696520037e-27
2.297593164957699585e+01 1.300747798283838873e-03 2.091947248254463028e-04 1.091553073458392462e-03 8.756510762696520037e-27
2.389496891556007796e+01 1.273522724620858781e-03 2.078722436876506837e-04 1.065650480933208206e-03 8.756510762696520037e-27
2.481400618154315652e+01 1.245548457598484029e-03 2.065497625498384222e-04 1.038998695048645553e-03 8.756510762696520037e-27
2.573304344752623507e+01 1.204127861543187634e-03 2.052272814120077022e-04 9.989005801311799052e-04 8.756510762696520037e-27
2.665208071350931363e+01 1.199527765534170488e-03 2.039048002741566804e-04 9.956229652600138893e-04 8.756510762696520037e-27
2.757111797949239573e+01 1.195326952743186455e-03 2.025823191362834325e-04 9.927446336069031037e-04 8.756510762696520037e-27
2.849015524547547429e+01 1.205851475587693764e-03 2.012598379983859256e-04 1.004591637589307730e-03 8.756510762696520037e-27
2.940919251145855640e+01 1.337741649600501575e-03 1.999373568604621268e-04 1.137804292740039530e-03 8.756510762696520037e-27
3.032822977744163495e+01 1.439480653614655164e-03 1.986148757225098135e-04 1.240865777892145297e-03 8.756510762696520037e-27
